,model,prompt_method,prompt_short,sample_size,target_material,target_thickness,pulse_width,energy,spot_size,intensity,power,cutoff_energy
0,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.589,30.0,2.381,3.3,6.435e+20,79370000000000.0,5.8
1,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.273,30.0,2.315,3.3,6.257e+20,77170000000000.0,4.2
2,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.762,279.0,1.588,3.3,4.615e+19,5692000000000.0,4.7
3,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.501,80.0,2.412,3.3,2.445e+20,30150000000000.0,5.2
4,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.937,187.0,2.372,3.3,1.029e+20,12690000000000.0,6.5
5,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.685,30.0,2.398,3.3,6.481e+20,79940000000000.0,6.0
6,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.322,30.0,2.342,3.3,6.329e+20,78060000000000.0,4.6
7,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.769,463.0,2.401,3.3,4.205e+19,5186000000000.0,5.3
8,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,gold,3.8,475.0,102.5,2.35,3.45e+21,215800000000000.0,38.6
9,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.411,30.0,2.359,3.3,6.375e+20,78630000000000.0,4.9
10,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.598,279.0,1.561,3.3,4.537e+19,5595000000000.0,4.1
11,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.823,30.0,2.421,3.3,6.543e+20,80700000000000.0,6.7
12,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.279,30.0,2.311,3.3,6.246e+20,77030000000000.0,4.3
13,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.691,187.0,2.397,3.3,1.04e+20,12820000000000.0,5.9
14,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.547,30.0,2.378,3.3,6.427e+20,79260000000000.0,5.6
15,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.875,279.0,2.351,3.3,6.833e+19,8429000000000.0,5.8
16,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.403,30.0,2.347,3.3,6.343e+20,78240000000000.0,4.7
17,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.729,30.0,2.412,3.3,6.519e+20,80400000000000.0,6.4
18,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,aluminium,4.5,1200.0,220.0,55.0,5.215e+18,183000000000000.0,18.5
19,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.615,463.0,2.388,3.3,4.182e+19,5157000000000.0,5.1
20,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.482,30.0,2.361,3.3,6.382e+20,78700000000000.0,5.0
21,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.702,279.0,1.592,3.3,4.627e+19,5707000000000.0,4.9
22,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.893,30.0,2.437,3.3,6.587e+20,81240000000000.0,7.1
23,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.258,30.0,2.303,3.3,6.224e+20,76770000000000.0,4.1
24,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,gold,6.2,500.0,145.8,3.15,2.937e+21,291600000000000.0,35.2
25,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.482,30.0,2.31,3.3,6.24e+20,77000000000000.0,4.4
26,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.769,279.0,2.41,3.3,7.01e+19,8640000000000.0,6.2
27,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,gold,4.0,475.0,90.5,2.2,3.41e+21,190600000000000.0,41.5
28,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.593,30.0,2.35,3.3,6.35e+20,78330000000000.0,4.8
29,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.273,30.0,2.31,3.3,6.24e+20,77000000000000.0,4.0
30,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,1.0,187.0,2.36,3.3,1.02e+20,12620000000000.0,6.2
31,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.506,463.0,2.4,3.3,4.2e+19,5180000000000.0,4.8
32,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.663,30.0,2.37,3.3,6.4e+20,78940000000000.0,5.5
33,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.574,279.0,1.6,3.3,4.65e+19,5730000000000.0,4.0
34,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.723,30.0,2.36,3.3,6.38e+20,78780000000000.0,5.5
35,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,gold,1.1,500.0,28.5,2.45,8.4e+20,57000000000000.0,29.7
36,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.597,30.0,2.4,3.3,6.49e+20,80060000000000.0,4.8
37,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.301,30.0,2.31,3.3,6.23e+20,76820000000000.0,4.5
38,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.54,30.0,2.34,3.3,6.32e+20,77930000000000.0,4.0
39,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.981,187.0,2.37,3.3,1.03e+20,12660000000000.0,6.2
40,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.279,30.0,2.26,3.3,6.1e+20,75240000000000.0,4.0
41,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.529,30.0,2.41,3.3,6.52e+20,80440000000000.0,4.8
