model_type,version,fold,parameters,rmse,r2,training_time
Random Forest,Baseline,0,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",3.43916665967747,0.90315324516353,1.06271743774414
Random Forest,Baseline,0,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1000}",3.49523942871529,0.899969488233624,2.11661577224731
Random Forest,Baseline,0,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1500}",3.48737133583416,0.900419336385503,3.04947686195374
Random Forest,Baseline,0,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}",3.44135366294541,0.903030034203106,0.95294451713562
Random Forest,Baseline,0,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 1000}",3.44780514012607,0.902666115823308,1.93802452087402
Random Forest,Baseline,0,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 1500}",3.45272120616645,0.902388350161678,2.92180776596069
Random Forest,Baseline,0,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 500}",3.61508209210697,0.892992317977647,0.906636238098145
Random Forest,Baseline,0,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 1000}",3.62454889736903,0.892431142735219,1.80999350547791
Random Forest,Baseline,0,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 1500}",3.61858054833357,0.892785106730908,2.67852759361267
Random Forest,Baseline,0,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",3.01096744594852,0.925768070541881,0.920986652374268
Random Forest,Baseline,0,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 1000}",3.03414004669113,0.924621086341224,1.84881830215454
Random Forest,Baseline,0,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 1500}",3.01857484173608,0.925392493544043,2.76416444778442
Random Forest,Baseline,0,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500}",3.04718037678421,0.923971756890803,0.91828203201294
Random Forest,Baseline,0,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 1000}",3.05410591484385,0.923625774852282,1.8302116394043
Random Forest,Baseline,0,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 1500}",3.04111235641483,0.924274253969332,2.72905445098877
Random Forest,Baseline,0,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 500}",3.22981021492935,0.914585296736675,0.863815784454346
Random Forest,Baseline,0,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 1000}",3.20023651178132,0.916142332066914,1.79265141487122
Random Forest,Baseline,0,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 1500}",3.18362143909521,0.917010820601258,2.58278894424438
Random Forest,Baseline,0,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 500}",3.55855978807412,0.896312318698148,0.836440801620483
Random Forest,Baseline,0,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 1000}",3.5076700489475,0.899256717367454,1.67876076698303
Random Forest,Baseline,0,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 1500}",3.51720049779147,0.898708528377105,2.54181480407715
Random Forest,Baseline,0,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 500}",3.55855978807412,0.896312318698148,0.844914436340332
Random Forest,Baseline,0,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 1000}",3.5076700489475,0.899256717367454,1.66993188858032
Random Forest,Baseline,0,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 1500}",3.51720049779147,0.898708528377105,2.49450182914734
Random Forest,Baseline,0,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 500}",3.52859247673779,0.898051313053526,0.841184616088867
Random Forest,Baseline,0,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 1000}",3.49129728776631,0.900195001825824,1.64802956581116
Random Forest,Baseline,0,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 1500}",3.51237188265112,0.898986454985588,2.47714257240295
Random Forest,Baseline,0,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",3.41961528188233,0.904251246812793,0.87464714050293
Random Forest,Baseline,0,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1000}",3.46968202485052,0.901426998383757,1.74699282646179
Random Forest,Baseline,0,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1500}",3.45505295571502,0.902256464172528,2.59887742996216
Random Forest,Baseline,0,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}",3.43721098524316,0.903263357228497,0.862712621688843
Random Forest,Baseline,0,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 1000}",3.45658249844777,0.902169903411182,1.67800855636597
Random Forest,Baseline,0,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 1500}",3.44218433291158,0.902983215556937,2.51600241661072
Random Forest,Baseline,0,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 500}",3.62097516605356,0.892643159561828,0.818084239959717
