model_type,version,fold,parameters,rmse,r2,training_time
LightGBM,Baseline,0,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_samples': 50, 'n_estimators': 500, 'num_leaves': 15, 'subsample': 0.6}",3.58297208330318,0.894884810466976,0.322766065597534
LightGBM,Baseline,0,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_samples': 50, 'n_estimators': 500, 'num_leaves': 15, 'subsample': 0.8}",3.58297208391011,0.894884810431364,0.204940319061279
LightGBM,Baseline,0,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_samples': 50, 'n_estimators': 500, 'num_leaves': 31, 'subsample': 0.6}",3.58297208287089,0.89488481049234,0.203968286514282
LightGBM,Baseline,0,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_samples': 50, 'n_estimators': 500, 'num_leaves': 31, 'subsample': 0.8}",3.58297208366816,0.89488481044556,0.188790798187256
LightGBM,Baseline,0,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_samples': 50, 'n_estimators': 500, 'num_leaves': 62, 'subsample': 0.6}",3.58297208210111,0.894884810537507,0.218466281890869
LightGBM,Baseline,0,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_samples': 50, 'n_estimators': 500, 'num_leaves': 62, 'subsample': 0.8}",3.58297208249263,0.894884810514535,0.20825457572937
LightGBM,Baseline,0,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_samples': 50, 'n_estimators': 750, 'num_leaves': 15, 'subsample': 0.6}",3.54004969237997,0.897388190630619,0.275943040847778
LightGBM,Baseline,0,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_samples': 50, 'n_estimators': 750, 'num_leaves': 15, 'subsample': 0.8}",3.54004969381865,0.897388190547216,0.266603469848633
LightGBM,Baseline,0,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_samples': 50, 'n_estimators': 750, 'num_leaves': 31, 'subsample': 0.6}",3.54004969300706,0.897388190594265,0.272696495056152
LightGBM,Baseline,0,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_samples': 50, 'n_estimators': 750, 'num_leaves': 31, 'subsample': 0.8}",3.54004969320944,0.897388190582533,0.280248880386353
