model_type,version,fold,parameters,rmse,r2,training_time
Neural Network,Baseline,0,"{'batch_size': 32, 'epochs': 50, 'layer1_units': 128, 'layer2_units': 64, 'layer3_units': 32, 'learning_rate': 0.001}",13.2725396529033,-0.442403435707092,7.78936100006104
Neural Network,Baseline,0,"{'batch_size': 32, 'epochs': 50, 'layer1_units': 128, 'layer2_units': 64, 'layer3_units': 32, 'learning_rate': 0.0001}",4.82492324688993,0.809383928775787,4.78349232673645
Neural Network,Baseline,0,"{'batch_size': 32, 'epochs': 50, 'layer1_units': 128, 'layer2_units': 64, 'layer3_units': 64, 'learning_rate': 0.001}",14.5149117449562,-0.725073099136353,5.63128733634949
Neural Network,Baseline,0,"{'batch_size': 32, 'epochs': 50, 'layer1_units': 128, 'layer2_units': 64, 'layer3_units': 64, 'learning_rate': 0.0001}",5.52414432303402,0.750133097171783,4.77965402603149
Neural Network,Baseline,0,"{'batch_size': 32, 'epochs': 50, 'layer1_units': 128, 'layer2_units': 128, 'layer3_units': 32, 'learning_rate': 0.001}",11.6466800789045,-0.11066472530365,7.07034921646118
Neural Network,Baseline,0,"{'batch_size': 32, 'epochs': 50, 'layer1_units': 128, 'layer2_units': 128, 'layer3_units': 32, 'learning_rate': 0.0001}",6.65571699560505,0.637282609939575,4.23844170570374
Neural Network,Baseline,0,"{'batch_size': 32, 'epochs': 50, 'layer1_units': 128, 'layer2_units': 128, 'layer3_units': 64, 'learning_rate': 0.001}",16.5691853400229,-1.24792098999023,4.79510307312012
Neural Network,Baseline,0,"{'batch_size': 32, 'epochs': 50, 'layer1_units': 128, 'layer2_units': 128, 'layer3_units': 64, 'learning_rate': 0.0001}",5.38796905104281,0.762300133705139,4.22680878639221
Neural Network,Baseline,0,"{'batch_size': 32, 'epochs': 50, 'layer1_units': 256, 'layer2_units': 64, 'layer3_units': 32, 'learning_rate': 0.001}",12.5517185691078,-0.289986252784729,6.9316098690033
Neural Network,Baseline,0,"{'batch_size': 32, 'epochs': 50, 'layer1_units': 256, 'layer2_units': 64, 'layer3_units': 32, 'learning_rate': 0.0001}",4.38660439591043,0.842443764209747,4.29238700866699
Neural Network,Baseline,0,"{'batch_size': 32, 'epochs': 50, 'layer1_units': 256, 'layer2_units': 64, 'layer3_units': 64, 'learning_rate': 0.001}",13.0005405020225,-0.38388979434967,5.18249583244324
Neural Network,Baseline,0,"{'batch_size': 32, 'epochs': 50, 'layer1_units': 256, 'layer2_units': 64, 'layer3_units': 64, 'learning_rate': 0.0001}",4.02805148250709,0.86714780330658,4.28367471694946
Neural Network,Baseline,0,"{'batch_size': 32, 'epochs': 50, 'layer1_units': 256, 'layer2_units': 128, 'layer3_units': 32, 'learning_rate': 0.001}",15.3594370905726,-0.93165385723114,6.74902439117432
Neural Network,Baseline,0,"{'batch_size': 32, 'epochs': 50, 'layer1_units': 256, 'layer2_units': 128, 'layer3_units': 32, 'learning_rate': 0.0001}",3.70835757872696,0.887399077415466,4.41126537322998
Neural Network,Baseline,0,"{'batch_size': 32, 'epochs': 50, 'layer1_units': 256, 'layer2_units': 128, 'layer3_units': 64, 'learning_rate': 0.001}",16.3264689650637,-1.18254518508911,5.02557229995728
Neural Network,Baseline,0,"{'batch_size': 32, 'epochs': 50, 'layer1_units': 256, 'layer2_units': 128, 'layer3_units': 64, 'learning_rate': 0.0001}",4.5151951991201,0.833070993423462,4.40920662879944
Neural Network,Baseline,0,"{'batch_size': 32, 'epochs': 100, 'layer1_units': 128, 'layer2_units': 64, 'layer3_units': 32, 'learning_rate': 0.001}",12.2109806111283,-0.220899105072021,5.9825747013092
Neural Network,Baseline,0,"{'batch_size': 32, 'epochs': 100, 'layer1_units': 128, 'layer2_units': 64, 'layer3_units': 32, 'learning_rate': 0.0001}",4.20327452212844,0.855338096618652,6.32637977600098
Neural Network,Baseline,0,"{'batch_size': 32, 'epochs': 100, 'layer1_units': 128, 'layer2_units': 64, 'layer3_units': 64, 'learning_rate': 0.001}",8.16660910865067,0.453912496566772,6.01707339286804
Neural Network,Baseline,0,"{'batch_size': 32, 'epochs': 100, 'layer1_units': 128, 'layer2_units': 64, 'layer3_units': 64, 'learning_rate': 0.0001}",5.06334048229028,0.790080428123474,6.03708481788635
Neural Network,Baseline,0,"{'batch_size': 32, 'epochs': 100, 'layer1_units': 128, 'layer2_units': 128, 'layer3_units': 32, 'learning_rate': 0.001}",12.6201241019505,-0.3040851354599,6.02227139472961
Neural Network,Baseline,0,"{'batch_size': 32, 'epochs': 100, 'layer1_units': 128, 'layer2_units': 128, 'layer3_units': 32, 'learning_rate': 0.0001}",8.27931000640325,0.438736200332642,5.98826265335083
Neural Network,Baseline,0,"{'batch_size': 32, 'epochs': 100, 'layer1_units': 128, 'layer2_units': 128, 'layer3_units': 64, 'learning_rate': 0.001}",12.9089660003519,-0.364462494850159,6.00038313865662
Neural Network,Baseline,0,"{'batch_size': 32, 'epochs': 100, 'layer1_units': 128, 'layer2_units': 128, 'layer3_units': 64, 'learning_rate': 0.0001}",8.8632369193746,0.356774210929871,5.99456262588501
