model_type,version,fold,parameters,rmse,r2,training_time
Neural Network,Enhanced,0,"{'batch_size': 32, 'epochs': 50, 'layer1_units': 128, 'layer2_units': 64, 'layer3_units': 32, 'learning_rate': 0.001}",4.23679499430058,0.904734134674072,10.1769866943359
Neural Network,Enhanced,0,"{'batch_size': 32, 'epochs': 50, 'layer1_units': 128, 'layer2_units': 64, 'layer3_units': 32, 'learning_rate': 0.0001}",4.41097812073098,0.896740019321442,9.11782836914063
Neural Network,Enhanced,0,"{'batch_size': 32, 'epochs': 50, 'layer1_units': 128, 'layer2_units': 64, 'layer3_units': 64, 'learning_rate': 0.001}",4.32828783080153,0.900575220584869,9.66988611221314
Neural Network,Enhanced,0,"{'batch_size': 32, 'epochs': 50, 'layer1_units': 128, 'layer2_units': 64, 'layer3_units': 64, 'learning_rate': 0.0001}",4.25900167954845,0.903732895851135,9.10740852355957
Neural Network,Enhanced,0,"{'batch_size': 32, 'epochs': 50, 'layer1_units': 128, 'layer2_units': 128, 'layer3_units': 32, 'learning_rate': 0.001}",4.27250591494183,0.903121471405029,10.4099495410919
Neural Network,Enhanced,0,"{'batch_size': 32, 'epochs': 50, 'layer1_units': 128, 'layer2_units': 128, 'layer3_units': 32, 'learning_rate': 0.0001}",4.45740033426079,0.89455509185791,9.13931941986084
Neural Network,Enhanced,0,"{'batch_size': 32, 'epochs': 50, 'layer1_units': 128, 'layer2_units': 128, 'layer3_units': 64, 'learning_rate': 0.001}",4.35330181871801,0.899422705173492,9.3588297367096
Neural Network,Enhanced,0,"{'batch_size': 32, 'epochs': 50, 'layer1_units': 128, 'layer2_units': 128, 'layer3_units': 64, 'learning_rate': 0.0001}",4.42450282865338,0.896105825901032,9.13442230224609
Neural Network,Enhanced,0,"{'batch_size': 32, 'epochs': 50, 'layer1_units': 256, 'layer2_units': 64, 'layer3_units': 32, 'learning_rate': 0.001}",4.25873655038854,0.903744876384735,10.4676403999329
Neural Network,Enhanced,0,"{'batch_size': 32, 'epochs': 50, 'layer1_units': 256, 'layer2_units': 64, 'layer3_units': 32, 'learning_rate': 0.0001}",4.31738137670328,0.901075661182404,9.2158350944519
Neural Network,Enhanced,0,"{'batch_size': 32, 'epochs': 50, 'layer1_units': 256, 'layer2_units': 64, 'layer3_units': 64, 'learning_rate': 0.001}",4.22916082873513,0.905077159404755,9.48719835281372
Neural Network,Enhanced,0,"{'batch_size': 32, 'epochs': 50, 'layer1_units': 256, 'layer2_units': 64, 'layer3_units': 64, 'learning_rate': 0.0001}",4.30447392704082,0.901666283607483,9.16629266738892
Neural Network,Enhanced,0,"{'batch_size': 32, 'epochs': 50, 'layer1_units': 256, 'layer2_units': 128, 'layer3_units': 32, 'learning_rate': 0.001}",4.30981826328262,0.901421964168549,10.4484515190125
Neural Network,Enhanced,0,"{'batch_size': 32, 'epochs': 50, 'layer1_units': 256, 'layer2_units': 128, 'layer3_units': 32, 'learning_rate': 0.0001}",4.25918640928271,0.903724551200867,9.30512762069702
Neural Network,Enhanced,0,"{'batch_size': 32, 'epochs': 50, 'layer1_units': 256, 'layer2_units': 128, 'layer3_units': 64, 'learning_rate': 0.001}",4.37647113588922,0.898349285125732,9.58884716033936
Neural Network,Enhanced,0,"{'batch_size': 32, 'epochs': 50, 'layer1_units': 256, 'layer2_units': 128, 'layer3_units': 64, 'learning_rate': 0.0001}",4.31927886242107,0.900988698005676,9.33665728569031
Neural Network,Enhanced,0,"{'batch_size': 32, 'epochs': 100, 'layer1_units': 128, 'layer2_units': 64, 'layer3_units': 32, 'learning_rate': 0.001}",4.12183767537534,0.90983372926712,15.7487750053406
Neural Network,Enhanced,0,"{'batch_size': 32, 'epochs': 100, 'layer1_units': 128, 'layer2_units': 64, 'layer3_units': 32, 'learning_rate': 0.0001}",4.24207172270936,0.904496729373932,15.7137134075165
Neural Network,Enhanced,0,"{'batch_size': 32, 'epochs': 100, 'layer1_units': 128, 'layer2_units': 64, 'layer3_units': 64, 'learning_rate': 0.001}",4.39549229942691,0.897463738918304,15.7555673122406
Neural Network,Enhanced,0,"{'batch_size': 32, 'epochs': 100, 'layer1_units': 128, 'layer2_units': 64, 'layer3_units': 64, 'learning_rate': 0.0001}",4.16992439073402,0.907717645168304,15.7775318622589
Neural Network,Enhanced,0,"{'batch_size': 32, 'epochs': 100, 'layer1_units': 128, 'layer2_units': 128, 'layer3_units': 32, 'learning_rate': 0.001}",4.31586601363293,0.901145100593567,15.7764744758606
Neural Network,Enhanced,0,"{'batch_size': 32, 'epochs': 100, 'layer1_units': 128, 'layer2_units': 128, 'layer3_units': 32, 'learning_rate': 0.0001}",4.14782779329519,0.908693075180054,15.8668229579926
Neural Network,Enhanced,0,"{'batch_size': 32, 'epochs': 100, 'layer1_units': 128, 'layer2_units': 128, 'layer3_units': 64, 'learning_rate': 0.001}",4.11874053444592,0.909969210624695,15.7291910648346
Neural Network,Enhanced,0,"{'batch_size': 32, 'epochs': 100, 'layer1_units': 128, 'layer2_units': 128, 'layer3_units': 64, 'learning_rate': 0.0001}",4.13639091078753,0.909195899963379,15.7398176193237
Neural Network,Enhanced,0,"{'batch_size': 32, 'epochs': 100, 'layer1_units': 256, 'layer2_units': 64, 'layer3_units': 32, 'learning_rate': 0.001}",4.31234143836388,0.901306509971619,15.8642942905426
Neural Network,Enhanced,0,"{'batch_size': 32, 'epochs': 100, 'layer1_units': 256, 'layer2_units': 64, 'layer3_units': 32, 'learning_rate': 0.0001}",4.11837027713925,0.909985363483429,15.803286075592
Neural Network,Enhanced,0,"{'batch_size': 32, 'epochs': 100, 'layer1_units': 256, 'layer2_units': 64, 'layer3_units': 64, 'learning_rate': 0.001}",4.2232312173599,0.905343174934387,15.8416035175323
Neural Network,Enhanced,0,"{'batch_size': 32, 'epochs': 100, 'layer1_units': 256, 'layer2_units': 64, 'layer3_units': 64, 'learning_rate': 0.0001}",4.17233970997036,0.907610714435577,15.7744114398956
Neural Network,Enhanced,0,"{'batch_size': 32, 'epochs': 100, 'layer1_units': 256, 'layer2_units': 128, 'layer3_units': 32, 'learning_rate': 0.001}",4.27814164754054,0.902865707874298,15.9023640155792
Neural Network,Enhanced,0,"{'batch_size': 32, 'epochs': 100, 'layer1_units': 256, 'layer2_units': 128, 'layer3_units': 32, 'learning_rate': 0.0001}",4.05350355087883,0.912798583507538,15.8769991397858
Neural Network,Enhanced,0,"{'batch_size': 32, 'epochs': 100, 'layer1_units': 256, 'layer2_units': 128, 'layer3_units': 64, 'learning_rate': 0.001}",4.45772959581602,0.894539535045624,15.9210891723633
Neural Network,Enhanced,0,"{'batch_size': 32, 'epochs': 100, 'layer1_units': 256, 'layer2_units': 128, 'layer3_units': 64, 'learning_rate': 0.0001}",4.15721222487691,0.908279418945313,15.8674051761627
Neural Network,Enhanced,0,"{'batch_size': 64, 'epochs': 50, 'layer1_units': 128, 'layer2_units': 64, 'layer3_units': 32, 'learning_rate': 0.001}",4.18873532421577,0.906883180141449,6.04986715316773
Neural Network,Enhanced,0,"{'batch_size': 64, 'epochs': 50, 'layer1_units': 128, 'layer2_units': 64, 'layer3_units': 32, 'learning_rate': 0.0001}",4.57520104472026,0.8889080286026,6.08903622627258
Neural Network,Enhanced,0,"{'batch_size': 64, 'epochs': 50, 'layer1_units': 128, 'layer2_units': 64, 'layer3_units': 64, 'learning_rate': 0.001}",4.20426931013332,0.906191229820252,6.04683780670166
Neural Network,Enhanced,0,"{'batch_size': 64, 'epochs': 50, 'layer1_units': 128, 'layer2_units': 64, 'layer3_units': 64, 'learning_rate': 0.0001}",4.457210125957,0.894564092159271,6.082355260849
Neural Network,Enhanced,0,"{'batch_size': 64, 'epochs': 50, 'layer1_units': 128, 'layer2_units': 128, 'layer3_units': 32, 'learning_rate': 0.001}",4.30940157389037,0.901440978050232,6.09371328353882
Neural Network,Enhanced,0,"{'batch_size': 64, 'epochs': 50, 'layer1_units': 128, 'layer2_units': 128, 'layer3_units': 32, 'learning_rate': 0.0001}",4.5161263474663,0.891758322715759,6.0897421836853
Neural Network,Enhanced,0,"{'batch_size': 64, 'epochs': 50, 'layer1_units': 128, 'layer2_units': 128, 'layer3_units': 64, 'learning_rate': 0.001}",4.23123514237606,0.904983997344971,6.11847472190857
Neural Network,Enhanced,0,"{'batch_size': 64, 'epochs': 50, 'layer1_units': 128, 'layer2_units': 128, 'layer3_units': 64, 'learning_rate': 0.0001}",4.3933794063377,0.897562325000763,6.05894637107849
