model_type,version,fold,parameters,rmse,r2,training_time
Random Forest,Enhanced,0,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",2.95323881329249,0.953712951572517,3.45363855361938
Random Forest,Enhanced,0,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1000}",2.93617047507133,0.954246440401717,6.9549298286438
Random Forest,Enhanced,0,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1500}",2.93175906541325,0.954383820756337,10.3207266330719
Random Forest,Enhanced,0,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}",2.99036980996451,0.952541702759171,3.17402338981628
Random Forest,Enhanced,0,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 1000}",2.96125790372433,0.95346123879658,6.32978892326355
Random Forest,Enhanced,0,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 1500}",2.96129599674501,0.953460041458521,9.43788766860962
Random Forest,Enhanced,0,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 500}",3.05482041029406,0.950473946752506,2.97068357467651
Random Forest,Enhanced,0,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 1000}",3.01981481691132,0.951602494663397,5.88201379776001
Random Forest,Enhanced,0,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 1500}",3.01888777779307,0.951632204759367,8.81056880950928
Random Forest,Enhanced,0,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",2.95401751198633,0.953688538771278,3.07750988006592
Random Forest,Enhanced,0,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 1000}",2.94640784071893,0.953926831927384,6.0732524394989
Random Forest,Enhanced,0,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 1500}",2.9478730914682,0.953880996093539,9.09583139419556
Random Forest,Enhanced,0,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500}",2.96869697164955,0.953227122165614,2.96926975250244
Random Forest,Enhanced,0,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 1000}",2.96182033107648,0.953443559041053,5.95494246482849
Random Forest,Enhanced,0,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 1500}",2.95867398778306,0.953542420366298,8.86736106872559
Random Forest,Enhanced,0,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 500}",3.00730875793401,0.952002524994281,2.76378107070923
Random Forest,Enhanced,0,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 1000}",3.00017671430062,0.952229913796368,5.52107501029968
Random Forest,Enhanced,0,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 1500}",3.00076111544256,0.952211301818117,8.27900195121765
Random Forest,Enhanced,0,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 500}",3.08412313006428,0.949519253344006,2.66222906112671
Random Forest,Enhanced,0,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 1000}",3.07925511852539,0.949678486232523,5.31678748130798
Random Forest,Enhanced,0,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 1500}",3.07919743740271,0.949680371476915,7.93334889411926
Random Forest,Enhanced,0,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 500}",3.08412313006428,0.949519253344006,2.65916728973389
Random Forest,Enhanced,0,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 1000}",3.07925511852539,0.949678486232523,5.28428554534912
Random Forest,Enhanced,0,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 1500}",3.07919743740271,0.949680371476915,7.93284630775452
Random Forest,Enhanced,0,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 500}",3.07708507473798,0.949749387412125,2.59635853767395
Random Forest,Enhanced,0,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 1000}",3.07182483611402,0.949921046155509,5.24417448043823
Random Forest,Enhanced,0,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 1500}",3.07195409495701,0.949916831537705,7.84516549110413
Random Forest,Enhanced,0,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",2.94953644468513,0.953828935618911,2.32478213310242
Random Forest,Enhanced,0,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1000}",2.93282525864595,0.95435063623865,4.62394857406616
Random Forest,Enhanced,0,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1500}",2.9305130530821,0.954422586727403,6.90615701675415
Random Forest,Enhanced,0,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}",2.98111966385191,0.9528348552691,2.28985714912415
Random Forest,Enhanced,0,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 1000}",2.96104789701755,0.953467839441129,4.55127811431885
Random Forest,Enhanced,0,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 1500}",2.95665236390106,0.953605886409394,6.79712533950806
Random Forest,Enhanced,0,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 500}",3.03596975095417,0.951083290747665,2.243332862854
Random Forest,Enhanced,0,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 1000}",3.01230463173693,0.951842921493874,4.4932975769043
Random Forest,Enhanced,0,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 1500}",3.01566598336282,0.951735387091627,6.76926922798157
Random Forest,Enhanced,0,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",2.94910523487347,0.953842434662583,2.27269649505615
Random Forest,Enhanced,0,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 1000}",2.94133461266664,0.954085356117357,4.53592205047607
