model_type,version,fold,parameters,rmse,r2,training_time
XGBoost,Baseline,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 500, 'reg_alpha': 0, 'reg_lambda': 0.5, 'subsample': 0.85}",2.87191739886412,0.932465970516205,0.695872068405151
XGBoost,Baseline,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 500, 'reg_alpha': 0, 'reg_lambda': 0.5, 'subsample': 1.0}",3.04088767192278,0.924285411834717,0.514768600463867
XGBoost,Baseline,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 500, 'reg_alpha': 0, 'reg_lambda': 1.0, 'subsample': 0.85}",2.82382347116049,0.934708952903748,0.5216383934021
XGBoost,Baseline,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 500, 'reg_alpha': 0, 'reg_lambda': 1.0, 'subsample': 1.0}",2.97179168680662,0.927687168121338,0.51227593421936
XGBoost,Baseline,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 500, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.85}",2.84576897685689,0.933690190315247,0.525112390518189
XGBoost,Baseline,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 500, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 1.0}",3.00138632214121,0.926239728927612,0.516090869903565
XGBoost,Baseline,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 500, 'reg_alpha': 0.5, 'reg_lambda': 1.0, 'subsample': 0.85}",2.82542349417707,0.934634923934937,0.521188259124756
XGBoost,Baseline,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 500, 'reg_alpha': 0.5, 'reg_lambda': 1.0, 'subsample': 1.0}",2.94354486418887,0.929055273532867,0.517035245895386
XGBoost,Baseline,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 1000, 'reg_alpha': 0, 'reg_lambda': 0.5, 'subsample': 0.85}",2.69187872162565,0.940667927265167,1.02113676071167
XGBoost,Baseline,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 1000, 'reg_alpha': 0, 'reg_lambda': 0.5, 'subsample': 1.0}",2.74208264272678,0.938434183597565,1.01705098152161
XGBoost,Baseline,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 1000, 'reg_alpha': 0, 'reg_lambda': 1.0, 'subsample': 0.85}",2.59854684348472,0.944710850715637,1.02883338928223
XGBoost,Baseline,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 1000, 'reg_alpha': 0, 'reg_lambda': 1.0, 'subsample': 1.0}",2.73413538291619,0.938790500164032,1.01317834854126
XGBoost,Baseline,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 1000, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.85}",2.66274517524418,0.941945254802704,1.02612018585205
XGBoost,Baseline,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 1000, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 1.0}",2.73628787025396,0.93869411945343,1.02618527412415
XGBoost,Baseline,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 1000, 'reg_alpha': 0.5, 'reg_lambda': 1.0, 'subsample': 0.85}",2.59680170903717,0.944785118103027,1.04317259788513
XGBoost,Baseline,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 1000, 'reg_alpha': 0.5, 'reg_lambda': 1.0, 'subsample': 1.0}",2.93903327047201,0.929272592067719,0.614112377166748
