model_type,version,fold,parameters,rmse,r2,training_time
XGBoost,Enhanced,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 500, 'reg_alpha': 0, 'reg_lambda': 0.5, 'subsample': 0.85}",2.93399016728018,0.954314351081848,0.610286235809326
XGBoost,Enhanced,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 500, 'reg_alpha': 0, 'reg_lambda': 0.5, 'subsample': 1.0}",3.02702619302215,0.951371073722839,0.572953462600708
XGBoost,Enhanced,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 500, 'reg_alpha': 0, 'reg_lambda': 1.0, 'subsample': 0.85}",3.02328530256258,0.951491177082062,0.635229349136353
XGBoost,Enhanced,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 500, 'reg_alpha': 0, 'reg_lambda': 1.0, 'subsample': 1.0}",3.07805048663579,0.949717879295349,0.596890687942505
XGBoost,Enhanced,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 500, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.85}",2.93885171510598,0.954162836074829,0.598336696624756
XGBoost,Enhanced,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 500, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 1.0}",3.02055943442188,0.951578617095947,0.584781885147095
XGBoost,Enhanced,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 500, 'reg_alpha': 0.5, 'reg_lambda': 1.0, 'subsample': 0.85}",3.03146078419035,0.951228499412537,0.695645570755005
XGBoost,Enhanced,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 500, 'reg_alpha': 0.5, 'reg_lambda': 1.0, 'subsample': 1.0}",3.08451837672156,0.949506342411041,0.804381608963013
XGBoost,Enhanced,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 1000, 'reg_alpha': 0, 'reg_lambda': 0.5, 'subsample': 0.85}",2.71179097836905,0.960972130298615,1.29473614692688
XGBoost,Enhanced,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 1000, 'reg_alpha': 0, 'reg_lambda': 0.5, 'subsample': 1.0}",2.81300247790041,0.958004534244537,1.21290397644043
XGBoost,Enhanced,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 1000, 'reg_alpha': 0, 'reg_lambda': 1.0, 'subsample': 0.85}",2.79452953343903,0.958554267883301,1.23570680618286
XGBoost,Enhanced,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 1000, 'reg_alpha': 0, 'reg_lambda': 1.0, 'subsample': 1.0}",2.85654497021666,0.95669436454773,1.17161631584167
XGBoost,Enhanced,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 1000, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.85}",2.71765088193288,0.960803270339966,1.20745038986206
XGBoost,Enhanced,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 1000, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 1.0}",2.80411083700558,0.958269596099854,1.12579751014709
XGBoost,Enhanced,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 1000, 'reg_alpha': 0.5, 'reg_lambda': 1.0, 'subsample': 0.85}",2.80831241392349,0.958144426345825,1.14110469818115
XGBoost,Enhanced,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 1000, 'reg_alpha': 0.5, 'reg_lambda': 1.0, 'subsample': 1.0}",2.86259121145662,0.956510841846466,1.15306186676025
XGBoost,Enhanced,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 500, 'reg_alpha': 0, 'reg_lambda': 0.5, 'subsample': 0.85}",2.93878713774976,0.954164862632752,0.588275671005249
XGBoost,Enhanced,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 500, 'reg_alpha': 0, 'reg_lambda': 0.5, 'subsample': 1.0}",2.97948098469706,0.952886700630188,0.565706253051758
XGBoost,Enhanced,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 500, 'reg_alpha': 0, 'reg_lambda': 1.0, 'subsample': 0.85}",2.96927581949066,0.953208863735199,0.59632158279419
XGBoost,Enhanced,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 500, 'reg_alpha': 0, 'reg_lambda': 1.0, 'subsample': 1.0}",2.99159557573298,0.95250278711319,0.596065282821655
XGBoost,Enhanced,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 500, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.85}",2.9393514114981,0.954147279262543,0.578937292098999
XGBoost,Enhanced,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 500, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 1.0}",2.98778415110696,0.952623724937439,0.571610450744629
XGBoost,Enhanced,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 500, 'reg_alpha': 0.5, 'reg_lambda': 1.0, 'subsample': 0.85}",2.97651636283141,0.952980399131775,0.607752561569214
XGBoost,Enhanced,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 500, 'reg_alpha': 0.5, 'reg_lambda': 1.0, 'subsample': 1.0}",2.9913255530706,0.952511370182037,0.610175848007202
XGBoost,Enhanced,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 1000, 'reg_alpha': 0, 'reg_lambda': 0.5, 'subsample': 0.85}",2.81010105820163,0.958091080188751,1.16045904159546
XGBoost,Enhanced,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 1000, 'reg_alpha': 0, 'reg_lambda': 0.5, 'subsample': 1.0}",2.88787958862062,0.955739080905914,1.13599896430969
XGBoost,Enhanced,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 1000, 'reg_alpha': 0, 'reg_lambda': 1.0, 'subsample': 0.85}",2.83528268363459,0.957336664199829,1.14942336082459
XGBoost,Enhanced,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 1000, 'reg_alpha': 0, 'reg_lambda': 1.0, 'subsample': 1.0}",2.88586859256781,0.955800712108612,1.17625737190247
XGBoost,Enhanced,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 1000, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.85}",2.80887013482756,0.958127796649933,1.18988966941834
XGBoost,Enhanced,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 1000, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 1.0}",2.90203354667976,0.955304145812988,1.16528463363647
XGBoost,Enhanced,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 1000, 'reg_alpha': 0.5, 'reg_lambda': 1.0, 'subsample': 0.85}",2.83758295416884,0.9572674036026,1.57791018486023
XGBoost,Enhanced,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 1000, 'reg_alpha': 0.5, 'reg_lambda': 1.0, 'subsample': 1.0}",2.8931261943321,0.955578088760376,1.24441361427307
XGBoost,Enhanced,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 500, 'reg_alpha': 0, 'reg_lambda': 0.5, 'subsample': 0.85}",2.61907663060919,0.96359521150589,0.89084267616272
XGBoost,Enhanced,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 500, 'reg_alpha': 0, 'reg_lambda': 0.5, 'subsample': 1.0}",2.65385095304568,0.962622046470642,0.839330434799194
XGBoost,Enhanced,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 500, 'reg_alpha': 0, 'reg_lambda': 1.0, 'subsample': 0.85}",2.59531318715068,0.964252829551697,0.901499032974243
XGBoost,Enhanced,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 500, 'reg_alpha': 0, 'reg_lambda': 1.0, 'subsample': 1.0}",2.57275617667804,0.964871525764465,0.894930839538574
XGBoost,Enhanced,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 500, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.85}",2.59901427143167,0.964150786399841,0.900979280471802
XGBoost,Enhanced,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 500, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 1.0}",2.65411937757331,0.962614476680756,0.946706533432007
XGBoost,Enhanced,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 500, 'reg_alpha': 0.5, 'reg_lambda': 1.0, 'subsample': 0.85}",2.58810306468844,0.964451134204865,0.94160795211792
XGBoost,Enhanced,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 500, 'reg_alpha': 0.5, 'reg_lambda': 1.0, 'subsample': 1.0}",2.58639245770668,0.964498162269592,0.939875841140747
XGBoost,Enhanced,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 1000, 'reg_alpha': 0, 'reg_lambda': 0.5, 'subsample': 0.85}",2.61907663060919,0.96359521150589,0.97880220413208
XGBoost,Enhanced,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 1000, 'reg_alpha': 0, 'reg_lambda': 0.5, 'subsample': 1.0}",2.65385095304568,0.962622046470642,0.983710050582886
XGBoost,Enhanced,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 1000, 'reg_alpha': 0, 'reg_lambda': 1.0, 'subsample': 0.85}",2.57075019054863,0.964926242828369,1.82174801826477
XGBoost,Enhanced,0,"{'colsample_bytree': 0.85, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 1000, 'reg_alpha': 0, 'reg_lambda': 1.0, 'subsample': 1.0}",2.51915053219118,0.966320097446442,1.75438046455383
